Question,Response
Anything else was discussed in the SMC meetings?,Regarding appointment of new cook in the school.
Anything else was discussed in the SMC meetings?,Work in progress about room construction with varandas
Anything else was discussed in the SMC meetings?,Construction of new rooms in the school. 
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Nono
Anything else was discussed in the SMC meetings?,About enrollment
Anything else was discussed in the SMC meetings?,Science lab and mnrega
Anything else was discussed in the SMC meetings?,Building should be constructed 
Anything else was discussed in the SMC meetings?,regarding the enrollment of the school session 2021 -22
Anything else was discussed in the SMC meetings?,regarding enrollment of the school session 2021-22
Anything else was discussed in the SMC meetings?,Help for development for school infrastructure
Anything else was discussed in the SMC meetings?,"Covid-19, its precautions & safeguards for the teachers and students. "
Anything else was discussed in the SMC meetings?,Covid 19 guidelines 
Anything else was discussed in the SMC meetings?,DISCUSSED ABOVE EXPENDITURE OF MAINTENANCE GRANT
Anything else was discussed in the SMC meetings?,Regarding Enrollment drive of new session 
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,NA
Anything else was discussed in the SMC meetings?,educational park
Anything else was discussed in the SMC meetings?,Discussion regarding enrollment
Anything else was discussed in the SMC meetings?,Outer wall of Ground 
Anything else was discussed in the SMC meetings?,Parents and students are made aware about covid guidelines.
Anything else was discussed in the SMC meetings?,"repair grant,smc training grant were discussed "
Anything else was discussed in the SMC meetings?,"Covid 19,mission 100%, Enrolment drive "
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Regarding construction of kitchen shed
Anything else was discussed in the SMC meetings?,Playground is filled with slush water n garbage.
Anything else was discussed in the SMC meetings?,mission 100%
Anything else was discussed in the SMC meetings?,"repair and maintenance grant,smc training grants were discussed"
Anything else was discussed in the SMC meetings?,Boundary wall
Anything else was discussed in the SMC meetings?,NA
Anything else was discussed in the SMC meetings?,Increase enrollment in school. 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Other general discussion.
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,Students advised to use bicycle inspite of vehicles.
Anything else was discussed in the SMC meetings?,Builind grant to  spend
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Enrollment
Anything else was discussed in the SMC meetings?,Regarding donation
Anything else was discussed in the SMC meetings?,Discussion and awareness regarding covid 19.
Anything else was discussed in the SMC meetings?,About construction work
Anything else was discussed in the SMC meetings?,Enrollment
Anything else was discussed in the SMC meetings?,Sanitization of premises 
Anything else was discussed in the SMC meetings?,ਪ੍ਰੀ ਬੋਰਡ ਪੇਪਰਾਂ ਵਿਚ ਗ਼ੈਰਹਾਜ਼ਰ ਰਹੇ ਵਿਦਿਆਰਥੀਆਂ ਨਾਲ ਸੰਪਰਕ ਸਾਧ ਕੇ ਉਨ੍ਹਾਂ ਬਾਰੇ ਜਾਣਕਾਰੀ ਦਿੱਤੀ ਜਾਵੇ  
Anything else was discussed in the SMC meetings?,about strategy of weak & absentee 
Anything else was discussed in the SMC meetings?,enrolment
Anything else was discussed in the SMC meetings?,Class room construction instructions 
Anything else was discussed in the SMC meetings?,Attendance
Anything else was discussed in the SMC meetings?,boundary wall
Anything else was discussed in the SMC meetings?,About Construction work
Anything else was discussed in the SMC meetings?,Attendance increase 
Anything else was discussed in the SMC meetings?,Attendance
Anything else was discussed in the SMC meetings?,For smart school
Anything else was discussed in the SMC meetings?,For improvement in smart school 
Anything else was discussed in the SMC meetings?,Improvement in smart school parameters
Anything else was discussed in the SMC meetings?,For Attendance increase
Anything else was discussed in the SMC meetings?,Attendance
Anything else was discussed in the SMC meetings?,Awareness and discussion regarding upcoming final exam as well as performance of students
Anything else was discussed in the SMC meetings?,"smc training grant,smart school were discussed "
Anything else was discussed in the SMC meetings?,Parents are awared about corona guidelines.
Anything else was discussed in the SMC meetings?,Pre Board analysis 
Anything else was discussed in the SMC meetings?,Enrollment
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Discuss repair and maintenance of school
Anything else was discussed in the SMC meetings?,Regarding enrollment drive
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,"Basic facilities, lack of staff, enrollment"
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,Enrollment of students
Anything else was discussed in the SMC meetings?,Sports meet
Anything else was discussed in the SMC meetings?,"PTM going good Also discuss with parents about students progress and with smc for increaseing enrollment..and learning outcomes,board exams"
Anything else was discussed in the SMC meetings?,Enrollment
Anything else was discussed in the SMC meetings?,Awaring about covid and dicipline chart for studying
Anything else was discussed in the SMC meetings?,Smart Classroom resolution passed
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,"Change of accounts, covid instructions"
Anything else was discussed in the SMC meetings?,A social function 
Anything else was discussed in the SMC meetings?,"lep grant,educational park,smart school grant"
Anything else was discussed in the SMC meetings?,Nothing
Anything else was discussed in the SMC meetings?,MASK AND SENITIZER PURCHASING FOR SCHOOL STUDENTS 
Anything else was discussed in the SMC meetings?,no
Anything else was discussed in the SMC meetings?,grants were discussed 
Anything else was discussed in the SMC meetings?,Boundary wall
Anything else was discussed in the SMC meetings?,Regarding prevention of covid -19
Anything else was discussed in the SMC meetings?,Regarding New admission
Anything else was discussed in the SMC meetings?,Regarding the performance of the students in the Pre - board exams and preparation for the annual exams 
Anything else was discussed in the SMC meetings?,"New admissions
Mission 100%"
Anything else was discussed in the SMC meetings?,"School's well being was discussed, SMC members have been motivated for increasing the enrollment of students"
Anything else was discussed in the SMC meetings?,Attendance
Anything else was discussed in the SMC meetings?,Construction work 
Anything else was discussed in the SMC meetings?,Admission drive 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Regarding the salaries of PTA teachers
Anything else was discussed in the SMC meetings?,Regarding the salary of PTA Teachers. 
Anything else was discussed in the SMC meetings?,Shortage of chemistry lecturer
Anything else was discussed in the SMC meetings?,Motivate parents to help the students in these days for study
Anything else was discussed in the SMC meetings?,Covid19 instructions
Anything else was discussed in the SMC meetings?,NA
Anything else was discussed in the SMC meetings?,"Covid-19 precautions for students, staff & community "
Anything else was discussed in the SMC meetings?,different grants discussed 
Anything else was discussed in the SMC meetings?,"educational park,boundary wall"
Anything else was discussed in the SMC meetings?,"Motivate committee members for enrollment,  full attendance in exam."
Anything else was discussed in the SMC meetings?,Satisfied 
Anything else was discussed in the SMC meetings?,ਸਾਰੇ ਵਿਸ਼ਿਆਂ ਦੀ ਪਾਰਕ ਬਣਾਉਣ ਸਬੰਧੀ ਪੰਚਾਇਤ ਨਾਲ ਗੱਲਬਾਤ ਕੀਤੀ ਗਈ  
Anything else was discussed in the SMC meetings?,COVID 19
Anything else was discussed in the SMC meetings?,"mission 100%
COVID 19"
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,School Building should be constructed 
Anything else was discussed in the SMC meetings?,Construction work of class rooms
Anything else was discussed in the SMC meetings?,repair and maintenance grant 
Anything else was discussed in the SMC meetings?,civil works being done by donors
